FID,osmid,y,x,street_cou,ref,highway
34141,747585411.000000000000000,31.187000500000000,121.542467000000002,4.000000000000000, , 
34142,747593148.000000000000000,31.170579300000000,121.547008899999994,3.000000000000000, , 
34143,747593167.000000000000000,31.174604899999999,121.546146899999997,4.000000000000000, , 
34144,747593343.000000000000000,31.180957800000002,121.533028099999996,4.000000000000000, , 
34145,747593344.000000000000000,31.180318700000001,121.529449400000004,4.000000000000000, , 
34146,747593345.000000000000000,31.180304799999998,121.529373000000007,4.000000000000000, , 
34147,747593354.000000000000000,31.180250800000000,121.529453300000000,5.000000000000000, , 
34148,747593357.000000000000000,31.184060599999999,121.527304500000000,4.000000000000000, , 
34149,747593371.000000000000000,31.181949400000001,121.543892799999995,4.000000000000000, , 
34150,747593394.000000000000000,31.181723699999999,121.537840500000001,4.000000000000000, , 
34151,747593408.000000000000000,31.180887200000001,121.533056200000004,4.000000000000000, , 
34152,747593437.000000000000000,31.177197799999998,121.518008300000005,4.000000000000000, , 
34153,747593466.000000000000000,31.179097400000000,121.524004599999998,4.000000000000000, , 
34154,747613990.000000000000000,31.305822200000001,121.573943000000000,4.000000000000000, ,traffic_signals
34155,747613993.000000000000000,31.304667200000001,121.573793600000002,3.000000000000000, , 
34156,747613994.000000000000000,31.304124999999999,121.573823500000003,4.000000000000000, , 
34157,747614007.000000000000000,31.298216499999999,121.584988800000005,4.000000000000000, , 
34158,747614008.000000000000000,31.298211700000000,121.584715200000005,4.000000000000000, , 
34159,747614055.000000000000000,31.298166299999998,121.573983200000001,4.000000000000000, , 
34160,747614057.000000000000000,31.298166299999998,121.573828100000000,3.000000000000000, , 
34161,747614059.000000000000000,31.303208300000001,121.573224400000001,3.000000000000000, , 
34162,747614062.000000000000000,31.318659799999999,121.562085400000001,3.000000000000000, , 
34163,763725546.000000000000000,31.252601500000001,121.589351899999997,3.000000000000000, , 
34164,763725564.000000000000000,31.255688800000001,121.586845999999994,3.000000000000000, , 
34165,763725568.000000000000000,31.258201600000000,121.584587099999993,4.000000000000000, , 
34166,763726600.000000000000000,31.263395400000000,121.576698199999996,3.000000000000000, , 
34167,763726622.000000000000000,31.270004100000001,121.579335200000003,3.000000000000000, , 
34168,763726669.000000000000000,31.274753600000000,121.574706000000006,3.000000000000000, , 
34169,773662836.000000000000000,31.228403499999999,121.489883399999997,3.000000000000000, , 
34170,773662878.000000000000000,31.227389700000000,121.488670400000004,3.000000000000000, , 
34171,773662896.000000000000000,31.228156599999998,121.488502999999994,3.000000000000000, , 
34172,775073756.000000000000000,31.155709399999999,121.642882299999997,3.000000000000000, , 
34173,794127540.000000000000000,31.158028000000002,121.649589899999995,3.000000000000000,27,motorway_junction
34174,810776087.000000000000000,31.300426800000000,121.536341399999998,3.000000000000000, ,traffic_signals
34175,824460800.000000000000000,31.281453700000000,121.535584799999995,4.000000000000000, , 
34176,824460801.000000000000000,31.281485700000001,121.535648399999999,3.000000000000000, , 
34177,825344574.000000000000000,31.305871700000001,121.604684199999994,3.000000000000000, , 
34178,825344816.000000000000000,31.306026700000000,121.604769899999994,3.000000000000000,3,motorway_junction
34179,825345391.000000000000000,31.306996500000000,121.601511299999999,3.000000000000000, , 
34180,825345439.000000000000000,31.305890099999999,121.595100299999999,3.000000000000000,3,motorway_junction
34181,826094169.000000000000000,31.309469199999999,121.600004299999995,3.000000000000000, , 
34182,826094362.000000000000000,31.306078100000001,121.595869100000002,3.000000000000000, , 
34183,826100986.000000000000000,31.304304900000002,121.599084199999993,3.000000000000000, , 
34184,826111893.000000000000000,31.305717900000001,121.611479399999993,3.000000000000000, , 
34185,826112189.000000000000000,31.305716700000001,121.611286399999997,3.000000000000000, , 
34186,826124419.000000000000000,31.295441700000001,121.611211100000006,3.000000000000000, , 
34187,826124485.000000000000000,31.295584000000002,121.611211900000001,4.000000000000000, , 
34188,826124567.000000000000000,31.295609599999999,121.611407000000000,4.000000000000000, , 
34189,826124576.000000000000000,31.295469600000001,121.611414900000000,3.000000000000000, , 
34190,826126139.000000000000000,31.287874500000001,121.603880700000005,1.000000000000000, , 
34191,826136206.000000000000000,31.278333600000000,121.573113800000002,5.000000000000000, , 
34192,826136242.000000000000000,31.278303500000000,121.573278700000003,4.000000000000000, , 
34193,826167789.000000000000000,31.304247000000000,121.501967500000006,4.000000000000000, ,traffic_signals
34194,826167995.000000000000000,31.306844999999999,121.507389500000002,3.000000000000000, , 
34195,826168011.000000000000000,31.304325800000001,121.502294599999999,3.000000000000000, , 
34196,826168614.000000000000000,31.307060000000000,121.500218799999999,3.000000000000000, , 
34197,826169818.000000000000000,31.305150999999999,121.504875499999997,3.000000000000000, , 
34198,826170194.000000000000000,31.305938800000000,121.504834900000006,3.000000000000000, ,traffic_signals
34199,826170716.000000000000000,31.305643000000000,121.506462999999997,3.000000000000000, , 
